threshold_ppb,night_hour,month,pct_exceeding,local_hour
10.0,13,12,18.0327868852459,1
10.0,14,1,18.0327868852459,2
10.0,14,2,24.489795918367346,2
10.0,14,3,30.357142857142854,2
10.0,14,4,54.23728813559322,2
10.0,14,5,49.18032786885246,2
10.0,14,6,22.033898305084744,2
10.0,14,7,12.903225806451612,2
10.0,14,8,3.7735849056603774,2
10.0,14,9,13.333333333333334,2
10.0,14,10,9.090909090909092,2
10.0,14,11,15.0,2
10.0,14,12,21.311475409836063,2
10.0,15,1,16.39344262295082,3
10.0,15,2,22.448979591836736,3
10.0,15,3,28.57142857142857,3
10.0,15,4,47.45762711864407,3
10.0,15,5,50.81967213114754,3
10.0,15,6,16.94915254237288,3
10.0,15,7,19.35483870967742,3
10.0,15,8,7.547169811320755,3
10.0,15,9,13.333333333333334,3
10.0,15,10,10.909090909090908,3
10.0,15,11,13.333333333333334,3
10.0,15,12,19.672131147540984,3
10.0,16,1,11.475409836065573,4
10.0,16,2,24.489795918367346,4
10.0,16,3,26.785714285714285,4
10.0,16,4,50.847457627118644,4
10.0,16,5,52.459016393442624,4
10.0,16,6,20.33898305084746,4
10.0,16,7,12.903225806451612,4
10.0,16,8,7.547169811320755,4
10.0,16,9,13.333333333333334,4
10.0,16,10,14.545454545454545,4
10.0,16,11,13.333333333333334,4
10.0,16,12,11.475409836065573,4
10.0,17,1,8.19672131147541,5
10.0,17,2,26.53061224489796,5
10.0,17,3,30.357142857142854,5
10.0,17,4,47.45762711864407,5
10.0,17,5,45.90163934426229,5
10.0,17,6,25.423728813559322,5
10.0,17,7,11.29032258064516,5
10.0,17,8,11.320754716981133,5
10.0,17,9,13.333333333333334,5
10.0,17,10,16.363636363636363,5
10.0,17,11,16.666666666666664,5
10.0,17,12,9.836065573770492,5
10.0,18,1,8.19672131147541,6
10.0,18,2,18.367346938775512,6
10.0,18,3,26.785714285714285,6
10.0,18,4,38.983050847457626,6
10.0,18,5,34.42622950819672,6
10.0,18,6,25.423728813559322,6
10.0,18,7,12.903225806451612,6
10.0,18,8,7.547169811320755,6
10.0,18,9,20.0,6
10.0,18,10,18.181818181818183,6
10.0,18,11,11.666666666666666,6
10.0,18,12,11.475409836065573,6
10.0,19,1,6.666666666666667,7
10.0,19,2,10.416666666666668,7
10.0,19,3,29.09090909090909,7
10.0,19,4,23.728813559322035,7
10.0,19,5,16.39344262295082,7
10.0,19,6,1.694915254237288,7
10.0,19,7,4.838709677419355,7
10.0,19,8,9.433962264150944,7
10.0,19,9,26.666666666666668,7
10.0,19,10,18.181818181818183,7
10.0,19,11,11.666666666666666,7
10.0,19,12,11.475409836065573,7
10.0,20,1,8.333333333333332,8
10.0,20,2,4.25531914893617,8
10.0,20,3,26.41509433962264,8
10.0,20,4,13.559322033898304,8
10.0,20,5,3.3333333333333335,8
10.0,20,6,1.7241379310344827,8
10.0,20,7,1.6666666666666667,8
10.0,20,8,1.8867924528301887,8
10.0,20,9,0.0,8
10.0,20,10,7.2727272727272725,8
10.0,20,11,5.0,8
10.0,20,12,13.559322033898304,8
10.0,21,1,1.7241379310344827,9
10.0,21,2,4.3478260869565215,9
10.0,21,3,11.320754716981133,9
10.0,21,4,0.0,9
10.0,21,5,0.0,9
10.0,21,6,0.0,9
10.0,21,7,0.0,9
10.0,21,8,0.0,9
10.0,21,9,0.0,9
10.0,21,10,1.8181818181818181,9
10.0,21,11,1.694915254237288,9
10.0,21,12,5.172413793103448,9
10.0,22,1,0.0,10
10.0,22,2,0.0,10
10.0,22,3,3.8461538461538463,10
10.0,22,4,0.0,10
10.0,22,5,0.0,10
10.0,22,6,0.0,10
10.0,22,7,0.0,10
10.0,22,8,0.0,10
10.0,22,9,0.0,10
10.0,22,10,0.0,10
10.0,22,11,0.0,10
10.0,22,12,0.0,10
10.0,23,1,0.0,11
10.0,23,2,0.0,11
10.0,23,3,3.8461538461538463,11
10.0,23,4,1.7857142857142856,11
10.0,23,5,0.0,11
10.0,23,6,0.0,11
10.0,23,7,0.0,11
10.0,23,8,0.0,11
10.0,23,9,0.0,11
10.0,23,10,0.0,11
10.0,23,11,0.0,11
10.0,23,12,0.0,11
30.0,0,1,0.0,12
30.0,0,2,0.0,12
30.0,0,3,0.0,12
30.0,0,4,0.0,12
30.0,0,5,0.0,12
30.0,0,6,0.0,12
30.0,0,7,0.0,12
30.0,0,8,0.0,12
30.0,0,9,0.0,12
30.0,0,10,0.0,12
30.0,0,11,0.0,12
30.0,0,12,0.0,12
30.0,1,1,0.0,13
30.0,1,2,0.0,13
30.0,1,3,0.0,13
30.0,1,4,0.0,13
30.0,1,5,0.0,13
30.0,1,6,0.0,13
30.0,1,7,0.0,13
30.0,1,8,0.0,13
30.0,1,9,0.0,13
30.0,1,10,0.0,13
30.0,1,11,0.0,13
30.0,1,12,0.0,13
30.0,2,1,0.0,14
30.0,2,2,0.0,14
30.0,2,3,0.0,14
30.0,2,4,0.0,14
30.0,2,5,0.0,14
30.0,2,6,0.0,14
30.0,2,7,0.0,14
30.0,2,8,0.0,14
30.0,2,9,0.0,14
30.0,2,10,0.0,14
30.0,2,11,0.0,14
30.0,2,12,0.0,14
30.0,3,1,0.0,15
30.0,3,2,0.0,15
30.0,3,3,0.0,15
30.0,3,4,0.0,15
30.0,3,5,0.0,15
30.0,3,6,0.0,15
30.0,3,7,0.0,15
30.0,3,8,0.0,15
30.0,3,9,0.0,15
30.0,3,10,0.0,15
30.0,3,11,0.0,15
30.0,3,12,0.0,15
30.0,4,1,0.0,16
30.0,4,2,0.0,16
30.0,4,3,0.0,16
30.0,4,4,0.0,16
30.0,4,5,0.0,16
30.0,4,6,0.0,16
30.0,4,7,0.0,16
30.0,4,8,0.0,16
30.0,4,9,0.0,16
30.0,4,10,0.0,16
30.0,4,11,0.0,16
30.0,4,12,1.6666666666666667,16
30.0,5,1,1.6666666666666667,17
30.0,5,2,0.0,17
30.0,5,3,0.0,17
30.0,5,4,0.0,17
30.0,5,5,0.0,17
30.0,5,6,0.0,17
30.0,5,7,0.0,17
30.0,5,8,0.0,17
30.0,5,9,0.0,17
30.0,5,10,0.0,17
30.0,5,11,0.0,17
30.0,5,12,3.278688524590164,17
30.0,6,1,1.6666666666666667,18
30.0,6,2,0.0,18
30.0,6,3,1.8518518518518516,18
30.0,6,4,0.0,18
30.0,6,5,0.0,18
30.0,6,6,0.0,18
30.0,6,7,0.0,18
30.0,6,8,0.0,18
30.0,6,9,0.0,18
30.0,6,10,0.0,18
30.0,6,11,1.6666666666666667,18
30.0,6,12,8.19672131147541,18
30.0,7,1,3.278688524590164,19
30.0,7,2,12.0,19
30.0,7,3,10.909090909090908,19
30.0,7,4,1.694915254237288,19
30.0,7,5,0.0,19
30.0,7,6,0.0,19
30.0,7,7,0.0,19
30.0,7,8,0.0,19
30.0,7,9,0.0,19
30.0,7,10,0.0,19
30.0,7,11,0.0,19
30.0,7,12,18.0327868852459,19
30.0,8,1,4.918032786885246,20
30.0,8,2,12.0,20
30.0,8,3,23.214285714285715,20
30.0,8,4,15.254237288135593,20
30.0,8,5,0.0,20
30.0,8,6,0.0,20
30.0,8,7,0.0,20
30.0,8,8,0.0,20
30.0,8,9,0.0,20
30.0,8,10,0.0,20
30.0,8,11,3.3333333333333335,20
30.0,8,12,11.475409836065573,20
30.0,9,1,3.278688524590164,21
30.0,9,2,14.000000000000002,21
30.0,9,3,32.142857142857146,21
30.0,9,4,40.67796610169492,21
30.0,9,5,1.639344262295082,21
30.0,9,6,1.694915254237288,21
30.0,9,7,0.0,21
30.0,9,8,0.0,21
30.0,9,9,0.0,21
30.0,9,10,0.0,21
30.0,9,11,0.0,21
30.0,9,12,4.918032786885246,21
30.0,10,1,1.639344262295082,22
30.0,10,2,16.0,22
30.0,10,3,32.142857142857146,22
30.0,10,4,38.983050847457626,22
30.0,10,5,13.114754098360656,22
30.0,10,6,6.779661016949152,22
30.0,10,7,0.0,22
30.0,10,8,0.0,22
30.0,10,9,0.0,22
30.0,10,10,0.0,22
30.0,10,11,8.333333333333332,22
30.0,10,12,8.19672131147541,22
30.0,11,1,5.0,23
30.0,11,2,20.0,23
30.0,11,3,30.357142857142854,23
30.0,11,4,44.06779661016949,23
30.0,11,5,26.229508196721312,23
30.0,11,6,6.779661016949152,23
30.0,11,7,0.0,23
30.0,11,8,0.0,23
30.0,11,9,0.0,23
30.0,11,10,0.0,23
30.0,11,11,5.0,23
30.0,11,12,8.19672131147541,23
30.0,12,1,6.557377049180328,0
30.0,12,2,14.285714285714285,0
30.0,12,3,28.57142857142857,0
30.0,12,4,42.3728813559322,0
30.0,12,5,29.508196721311474,0
30.0,12,6,10.16949152542373,0
30.0,12,7,1.6129032258064515,0
30.0,12,8,0.0,0
30.0,12,9,0.0,0
30.0,12,10,1.8518518518518516,0
30.0,12,11,3.3333333333333335,0
30.0,12,12,8.19672131147541,0
30.0,13,1,6.557377049180328,1
30.0,13,2,18.367346938775512,1
30.0,13,3,23.214285714285715,1
30.0,13,4,37.28813559322034,1
30.0,13,5,29.508196721311474,1
30.0,13,6,8.47457627118644,1
30.0,13,7,4.838709677419355,1
30.0,13,8,0.0,1
30.0,13,9,0.0,1
30.0,13,10,1.8181818181818181,1
30.0,13,11,3.3333333333333335,1
30.0,13,12,6.557377049180328,1
30.0,14,1,8.19672131147541,2
30.0,14,2,12.244897959183673,2
30.0,14,3,17.857142857142858,2
30.0,14,4,35.59322033898305,2
30.0,14,5,24.59016393442623,2
30.0,14,6,11.864406779661017,2
30.0,14,7,8.064516129032258,2
30.0,14,8,1.8867924528301887,2
30.0,14,9,6.666666666666667,2
30.0,14,10,0.0,2
30.0,14,11,3.3333333333333335,2
30.0,14,12,8.19672131147541,2
30.0,15,1,3.278688524590164,3
30.0,15,2,10.204081632653061,3
